No,Full Name,Candidate ID,Registration Code,Email,Password,Department
1,Ahmad Fauzi Rahman,STU-2026-0001,EPC-CAN-2026-001001,candidate001@proficiency.local,proficiency123,Informatics
2,Siti Nur Aisyah,STU-2026-0002,EPC-CAN-2026-001002,candidate002@proficiency.local,proficiency123,Management
3,Budi Santoso,STU-2026-0003,EPC-CAN-2026-001003,candidate003@proficiency.local,proficiency123,Nursing
4,Dewi Lestari,STU-2026-0004,EPC-CAN-2026-001004,candidate004@proficiency.local,proficiency123,Primary Teacher Education
5,Rizky Pratama,STU-2026-0005,EPC-CAN-2026-001005,candidate005@proficiency.local,proficiency123,Communication Studies
6,Nurul Hidayah,STU-2026-0006,EPC-CAN-2026-001006,candidate006@proficiency.local,proficiency123,English Education
7,Agus Setiawan,STU-2026-0007,EPC-CAN-2026-001007,candidate007@proficiency.local,proficiency123,Informatics
8,Maya Anggraini,STU-2026-0008,EPC-CAN-2026-001008,candidate008@proficiency.local,proficiency123,Management
9,Rina Wulandari,STU-2026-0009,EPC-CAN-2026-001009,candidate009@proficiency.local,proficiency123,Nursing
10,Dimas Aditya,STU-2026-0010,EPC-CAN-2026-001010,candidate010@proficiency.local,proficiency123,Primary Teacher Education
11,Fitri Amalia,STU-2026-0011,EPC-CAN-2026-001011,candidate011@proficiency.local,proficiency123,Communication Studies
12,Arif Nugroho,STU-2026-0012,EPC-CAN-2026-001012,candidate012@proficiency.local,proficiency123,English Education
13,Laila Safitri,STU-2026-0013,EPC-CAN-2026-001013,candidate013@proficiency.local,proficiency123,Informatics
14,Hendra Wijaya,STU-2026-0014,EPC-CAN-2026-001014,candidate014@proficiency.local,proficiency123,Management
15,Putri Maharani,STU-2026-0015,EPC-CAN-2026-001015,candidate015@proficiency.local,proficiency123,Nursing
16,Fajar Kurniawan,STU-2026-0016,EPC-CAN-2026-001016,candidate016@proficiency.local,proficiency123,Primary Teacher Education
17,Nadia Permata,STU-2026-0017,EPC-CAN-2026-001017,candidate017@proficiency.local,proficiency123,Communication Studies
18,Yusuf Firmansyah,STU-2026-0018,EPC-CAN-2026-001018,candidate018@proficiency.local,proficiency123,English Education
19,Anisa Rahmawati,STU-2026-0019,EPC-CAN-2026-001019,candidate019@proficiency.local,proficiency123,Informatics
20,Bayu Saputra,STU-2026-0020,EPC-CAN-2026-001020,candidate020@proficiency.local,proficiency123,Management
